PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 12.3 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
79,14721745,1445102,CC1=CC=CC=C1C(=O)NC2CCN(CC2)CC3=NN=NN3C4CCCC4,Active,13,,,11.62,3.03573,13.4706,7.34419,14.0572
80,24817108,3720993,C1=CC=C2C(=C1)N=CC(=N2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,13,,,11.56,0.139999,11.6863,11.6196,11.3616
81,144097032,60159071,CCNC(=O)NC1=CC2=C(C=C1)OC[C@@H]3[C@H](CC[C@@H](O3)CC(=O)N[C@H](C)C4=CC=CC=C4)N(C2=O)C,Active,12,,,11.32,1.54433,11.1755,13.28,9.50549
82,17409778,4358481,C1=CC=C(C(=C1)NC(=O)CS(=O)C2=CC(=CC=C2)Cl)Cl,Active,12,,,11.12,1.82639,9.42793,13.6547,10.272
83,847676,135439099,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5,Active,12,,,11.04,1.74606,11.056,13.1733,8.89642
84,22414417,1641764,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=S)N/N=C/C=C/C3=CC=C(C=C3)[N+](=O)[O-],Active,12,,,10.97,1.94812,10.4332,13.5783,8.89771
85,57263564,9106949,COC1=CC=CC=C1COC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCC3,Active,12,,,10.77,2.64375,8.47301,14.4757,9.37014
86,24823405,9552815,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC(=O)C3=CC(=CC=C3)O,Active,11,,,10.6,1.10037,9.04682,11.4353,11.3228
87,17413175,2230040,C1=CSC(=C1)C(=O)CCNC2=CC(=CC(=C2)Cl)Cl,Active,11,,,10.56,0.696905,9.58977,11.2017,10.8823
88,121284999,51360360,CCC(C1=NN=NN1C2CCCCC2)N3CCC(CC3)N4C5=CC=CC=C5NC4=O,Active,11,,,10.31,3.77401,8.16002,15.6141,7.15187
