PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
63,17415033,9587374,C1=CSC(=C1)C(=O)O/N=C(/CC2=CC(=C(C=C2)Cl)Cl)\N,Inactive,0,,,>,122.471,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.2,1.6,-3.1,,,,-2,-2.6,-3.6,,,,-4.1,-1.3,0.6,,,,-18.9,-4.2,2.4,,,,0.5,1.2,-3.7,,,,0.1,7.1,3.2,,,,5.6,8,9.5,,,,4.6,8.7,9.4,,,,13.9,13.2,9.7,,,,8.3,-0.6,6,,,
64,22412265,3354813,CC1=CC(=CS1)C(=O)NNC(=S)NCC(C)C,Inactive,0,,,>,122.473,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.2,-6.7,-4.3,,,,-4.8,-5.7,-2.1,,,,-6.1,-2.4,-5.5,,,,-1.2,-2.5,-6.1,,,,2.8,2.7,-2.3,,,,8,5.6,1.9,,,,9.3,10,9,,,,11.6,15,16.4,,,,21.3,17.8,12.2,,,,14.3,17.8,17.1,,,
65,50086848,6419976,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N.O,Inactive,0,,,>,122.473,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.7,3.3,0.8,,,,2.6,0.8,6.9,,,,6.1,-1.8,5.6,,,,7,3.7,6.1,,,,7.9,6.2,1.7,,,,0.7,3.9,0,,,,7.5,3.4,-0.6,,,,2.6,3.7,2.7,,,,3,4,4.6,,,,5.8,-0.3,2.3,,,
66,17413254,2870878,CC1=CC=C(C=C1)NC(=O)C2=NN(C=C2[N+](=O)[O-])C34CC5CC(C3)CC(C5)C4,Inactive,0,,,>,122.473,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.9,1.6,3,,,,1.2,-1.4,-1.1,,,,-0.2,-1,0.5,,,,-3.2,-2.9,0.3,,,,1.3,1.4,0.5,,,,1.4,1.7,4.2,,,,5.5,6.6,10.8,,,,8.8,10.7,13.1,,,,15.2,14.6,11.7,,,,17.4,19.9,19.8,,,
67,14734687,2844976,C1CCC(=C2C(=O)NC(=S)S2)C1,Inactive,0,,,>,122.474,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.7,4.8,-2.2,,,,-3.4,3.3,-3.2,,,,-0.8,0.8,-5.6,,,,-0.5,-3.6,-3.3,,,,-4.6,-1,-1.8,,,,-4.6,-4.9,-2.3,,,,-2.4,2,-2,,,,-5.7,-6.1,-1.5,,,,-1.6,2.6,-2.6,,,,2.8,2.9,6.6,,,
68,14740906,3381552,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCN(CC4)C5=CC=CC=C5F,Inactive,0,,,>,122.475,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.3,-0.8,-2.5,,,,3.8,-9.2,0.9,,,,-3,-1.3,-5.9,,,,-0.5,-0.8,-7.4,,,,-3.1,-1.1,-0.2,,,,-2.3,1.6,3.2,,,,3.1,2.7,4.1,,,,6.5,4.8,5.4,,,,5.9,8.5,9.8,,,,20.1,15.1,19.4,,,
69,49641714,3157416,CC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CC=C3)SC1)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-],Inactive,0,,,>,122.476,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.2,1.2,3.1,,,,4.3,4.6,3.3,,,,3.4,2,3,,,,3,5.9,-1.3,,,,0.5,9.4,2.4,,,,6,2.6,3.9,,,,2.5,8,2.8,,,,3,8.4,0.2,,,,7,0.9,2.9,,,,3.8,11.7,5.5,,,
70,861861,4669155,CCC(=NCC1CCCO1)C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)O,Inactive,0,,,>,122.476,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.5,-2.5,-0.8,,,,4,0.7,-1.1,,,,-0.6,-0.7,-0.2,,,,-0.6,0.7,2.7,,,,3.5,0.6,2.4,,,,5.1,2.5,7.6,,,,8.3,7.9,4.6,,,,11.7,9.8,15.5,,,,17.7,16.6,15.9,,,,14.9,9.9,15.7,,,
71,49666861,947839,C1=COC(=C1)/C=C/C(=O)NC(=S)NC2=CC=C(C=C2)C(=O)O,Inactive,0,,,>,122.476,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.3,-5.8,-4.3,,,,-6.3,-125.6,-1.4,,,,-5.6,-7,-4.6,,,,-4.2,3.7,-1.3,,,,0,-5.6,-0.6,,,,-1.5,-2.3,2.4,,,,-1.6,-5.9,-5.1,,,,-5.9,-10.3,-5.1,,,,-24.9,-24,-26.6,,,,-82.5,-78.6,-77.2,,,
72,17409467,1483408,C1=CC=C(C=C1)N2C(=C(C=N2)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Inactive,0,,,>,122.478,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.2,-1.4,-0.7,,,,-4.5,1.4,-0.6,,,,-2.6,-2.9,0.4,,,,2.8,-0.8,0,,,,5,1.8,2.6,,,,5.6,5.5,9.9,,,,13.7,15.1,11,,,,18.3,16.3,14.2,,,,15.2,16.8,19,,,,23,21,22.5,,,
73,56321449,24981619,C1CC(CN(C1)C(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCN(CC3)C4=CC=C(C=C4)F)C(F)(F)F,Inactive,0,,,>,122.478,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.2,-0.5,-6.9,,,,-4.1,-0.8,-2.8,,,,-3.7,-1.2,-4.6,,,,0.2,-7,-1.6,,,,1.7,2.2,-1.1,,,,-1.3,5,0.3,,,,-0.2,-1.1,-4.7,,,,3.5,2.3,3.8,,,,2.5,-3.3,4.3,,,,-8.2,-14,-21.2,,,
74,24809205,3164059,CCCC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,Inactive,0,,,>,122.479,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.6,1.1,-3.5,-5.8,-2.6,-4.1,-1.6,-1.2,-4.2,1.6,1.6,2.2,-1.3,-0.3,-0.6,-2.1,-1.4,0.2,2.9,5.9,-2,-32.4,3.4,3,4,6.9,-0.7,4.6,4.6,4.4,8.4,4.1,7.9,5.8,9.4,8,4.5,2.6,5.6,-2.4,7.2,1.5,-3.4,-2.6,-3.9,-0.5,-2,-7.1,-20.9,-20.8,-23.5,-13.9,-30,-16.5,-88.5,-67.6,-76.3,-58.9,-76.6,-65.2
75,24823405,9552815,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC(=O)C3=CC(=CC=C3)O,Inactive,0,,,>,122.48,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.8,-0.5,-3.8,,,,0.1,-2.9,0.1,,,,-2.6,0.8,-2.7,,,,0.1,-5,-2,,,,-0.1,-0.9,3.4,,,,1.8,0.6,7.2,,,,7.6,6,9.8,,,,9.1,14.1,6.7,,,,11.1,6.4,8.1,,,,1.9,0.1,2.7,,,
76,26729315,2744566,CC(C)(C)C1=NN(C(=C1)C(=O)NNC(=O)NC2=CC=CC=C2)CC3=CC=CC=C3,Inactive,0,,,>,122.48,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.5,-2.3,0.1,,,,2.2,5.7,-2,,,,1.1,-0.6,1.6,,,,-3.7,0.3,2.8,,,,-0.8,2.4,0.4,,,,2,1.2,2.2,,,,7.7,5,5.5,,,,8.4,11,9,,,,12.9,16.3,14.3,,,,5.8,9.1,6.8,,,
77,49728291,1092904,CC1=C(C=CC(=C1)NC(=O)C2=CC3=C(C=C2)OCO3)NC(=O)C4=CC=CC=C4,Inactive,0,,,>,122.48,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-12.3,-4.2,-5.4,,,,-0.8,-5.7,-4.9,,,,-4.8,-7.8,-4.4,,,,-8.3,-5.9,-3.4,,,,-0.1,-1.8,-4.9,,,,1.3,-2.3,4.5,,,,4.2,8.3,3.2,,,,12.3,9,11.1,,,,15.9,11.9,11,,,,-236.5,-252.5,-236.8,,,
78,121284999,51360360,CCC(C1=NN=NN1C2CCCCC2)N3CCC(CC3)N4C5=CC=CC=C5NC4=O,Inactive,0,,,>,122.48,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.5,1.7,3.8,,,,2.8,-1.5,2.1,,,,3.1,2.8,0.9,,,,0.6,3.2,-2.3,,,,3,0.6,0.2,,,,6.7,-0.7,0.7,,,,3.8,-0.5,0.2,,,,3.7,3.2,0,,,,-1.1,-1.1,0.6,,,,-2.2,-4,-5.5,,,
79,860958,3398600,CCC(=NCC1=CC=CO1)C2=C(N(C(=O)NC2=O)C3CCCCC3)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.9,1.8,-1.8,,,,-3,-0.1,-4.3,,,,-2,1,2.7,,,,3,4.1,1.5,,,,1.9,3.5,4.6,,,,9.1,5.2,7,,,,15.6,12.8,14.3,,,,16.9,14.2,16.5,,,,16.6,17.4,16.1,,,,4.8,1.1,8.3,,,
80,92764458,400634,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=C(I)I,Inactive,0,,,>,122.481,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.4,-3.3,-5.5,-1.3,0,0.6,-3.7,-1.8,-7.8,1.7,-1.3,1.4,-5.8,-2.7,-3.9,0.2,-2.8,0.3,-6.5,-3.9,-8.3,0,0.4,5.2,-0.2,4,5.9,-7.1,-2.9,-5.6,-2.8,-4.4,-0.6,-9.3,-12,-10.9,-16.8,-9.1,-7,-17.1,-13.7,-16,-5.9,-20.6,-11.8,-14.1,-10.2,-15.3,-23.3,-15.3,-31.8,-25.3,-24.7,-25.3,-32.6,-54.6,-32.7,-49.2,-52.4,-51.5
81,49735817,6023693,CC1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.3,2.4,-2,,,,-3.6,-4.9,-3.3,,,,-2.8,-1,-4.6,,,,-1.5,-3.4,-4.8,,,,2,-1.5,-0.4,,,,1.1,1.5,-0.8,,,,3.6,4,2.2,,,,2.5,2,5.3,,,,4.7,0.7,7.7,,,,9.4,8.6,10.5,,,
82,85148376,5362065,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.8,-0.3,-0.5,,,,4.7,2.2,-0.8,,,,-0.3,0.5,3.7,,,,5.2,6.1,3.9,,,,-0.6,-2.3,1.4,,,,17.2,17.4,17.9,,,,18.5,19.9,19.6,,,,28.8,27.8,28.7,,,,40.9,37.8,36.8,,,,45.2,49.5,49.7,,,
83,49713775,24789209,C1CCCN(CC1)C2=C(C=C(C=C2)C(CC(=O)N)NC(=O)CC3=CC=CC4=CC=CC=C43)[N+](=O)[O-],Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.5,2.3,0.7,,,,1.1,-0.7,3.7,,,,-6.8,1.5,-1.4,,,,2.4,-3.1,-4.9,,,,-3.4,0.7,2.2,,,,-0.1,-3.3,2.2,,,,2.3,6.7,2.4,,,,2.7,3.6,6.7,,,,4.1,5.2,2,,,,5.8,1,1.7,,,
84,49731015,24792808,C1CN(CCN1C2=CC(=CC=C2)Cl)S(=O)(=O)C3=CNC4=C3C=C(C=C4)[N+](=O)[O-],Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.9,1.1,7.6,,,,3.3,2.4,-1,,,,2.6,1.4,2.5,,,,5.1,3.4,2.4,,,,2.5,3.8,3.3,,,,5.4,6.2,5,,,,4.9,3.9,7.8,,,,8.8,6.1,12.3,,,,11,10.8,13.2,,,,19.8,19.2,18.1,,,
85,49822459,6237665,C1=COC(=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)NC3=CC(=C(C=C3)O)C(=O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8.1,5.2,3.2,,,,4.2,-0.4,2.1,,,,7.8,2.2,9,,,,3.1,4.1,-0.5,,,,2.3,5.3,2,,,,2.4,0.4,1.1,,,,-3.2,-4.2,-1.6,,,,-17.3,-14.7,-11.1,,,,-34,-37,-33.3,,,,-104.8,-104.5,-98,,,
86,26663247,2044775,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.3,-0.1,4.4,,,,-0.5,-0.6,-2.3,,,,-3.2,0.2,1.2,,,,-3.8,-0.8,-1.5,,,,-1.3,-2.9,1.1,,,,0.6,-1.3,-4.5,,,,-7.6,-7.2,-6.5,,,,-29.1,-27.9,-29,,,,-80.5,-71.9,-73.3,,,,-152.5,-158.1,-163.2,,,
87,49680093,16428168,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)CCC(=O)NC3=CC(=C(C=C3)C(=O)O)O,Inactive,0,,,>,122.481,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.5,-1.4,-3.8,,,,-3.5,-4.4,0.8,,,,-0.5,-1.5,-4.7,,,,0,-0.4,-2.7,,,,-0.2,-2.7,-4.3,,,,-2.9,-2.8,-2,,,,-6,-0.2,-4.1,,,,-8.6,-13.5,-10.1,,,,-24.1,-20.9,-20.7,,,,-39.4,-43.8,-41.4,,,
88,49677624,18567280,CN1C2=NC=CC(=C2C(=O)N(C1=O)CC3=C(C=C(C=C3)Cl)Cl)OC,Inactive,0,,,>,122.483,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.6,5.1,3.1,,,,2.6,1.4,2.2,,,,1.1,2.3,5.9,,,,-3.8,0.6,1.9,,,,2.9,0.3,1.9,,,,1.2,-0.9,5.5,,,,-0.1,3.1,-0.7,,,,-12.6,-3.6,-11.4,,,,-26.7,-26.8,-37.7,,,,-230.7,-187,-176,,,
89,22400719,4017536,COC(=O)C1CCCN1C(=O)COC2=C(C=C(C=C2)Br)Cl,Inactive,0,,,>,122.483,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.8,-0.2,3.5,,,,1.6,-0.5,-1.2,,,,0.8,-1.8,-0.7,,,,-4.6,0.8,-4,,,,-2.5,-2.2,-2.5,,,,0.9,-2.1,-5.6,,,,-0.5,-2.4,-3.6,,,,-7,-3.5,-6.2,,,,-4.4,-1.4,-5.8,,,,-6.5,-5.3,-4.2,,,
90,56463267,5353685,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O,Inactive,0,,,>,122.486,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.8,-3.1,-0.7,,,,-2.8,-5,-3.1,,,,-2.3,-2.8,-1.6,,,,-4.5,-5.9,1.7,,,,-2.5,-4.6,-8.1,,,,-16,-13.7,-12.4,,,,-53.3,-33.4,-34.5,,,,-133.1,-86.6,-85.6,,,,-308.9,-197.4,-202.9,,,,-542.5,-361.2,-369,,,
91,93577326,274108,C1=CC2=C(C(=C1)C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=CC=C2)C(=O)O,Inactive,0,,,>,122.486,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.8,0.6,2.3,-2.9,-0.3,0.9,3.1,-0.7,-1.4,-2.6,-0.9,-1.5,4.7,5.1,1.7,-2.6,-4.2,-0.1,2.2,-2.2,2.9,-3.8,-5.9,-4,3.3,1.8,8.2,-8,-7.5,-4.5,2.5,3.6,4.8,-0.4,-3.8,-2.4,4,2,4.9,-5.6,-7,-1.9,-1.1,-5.1,-3,-8.3,-13.6,-13.4,-28.2,-36.1,-32.8,-45.2,-39,-45,-93.9,-95.9,-88.7,-112.3,-119.2,-125.9
92,26671137,1976940,C1=CC=C2C(=C1)N=C3N2C(=O)/C(=C\C4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)/S3,Inactive,0,,,>,122.487,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.5,3.5,4.2,,,,-0.4,0.1,-0.4,,,,1,0.7,-10.5,,,,-6.3,-5.9,-1.2,,,,-21.9,-17.4,-26.5,,,,-52.9,-67.8,-53.3,,,,-148.8,-144.5,-185.5,,,,-352.4,-447.1,-347.6,,,,-581.1,-578.8,-815,,,,-919.2,-1236.5,-912.6,,,
93,56315966,16362984,CN(CCC1=CC(=C(C=C1)OC)OC)C(=O)CN2C(=O)C3(CCCC4=CC=CC=C43)NC2=O,Inactive,0,,,>,122.49,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.1,-2.5,1.6,,,,2.4,-1.6,-1.1,,,,1.8,-2.7,2,,,,-1.8,-2.6,-1.3,,,,1,0,-0.3,,,,-2,-6.9,-1.1,,,,-2,-1.3,-8.2,,,,-5.4,-3,-7.3,,,,3.4,-1.2,-0.7,,,,-5,0.2,-3.4,,,
94,56314674,54685047,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,Inactive,0,,,>,122.49,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.8,-5.7,-5.1,,,,-3.7,-1.9,-5,,,,-9.5,-1,-3.5,,,,-4.3,-1.3,-7.6,,,,-1.3,-10.4,-6.1,,,,-25.4,-21.8,-23.2,,,,-74.5,-56.7,-53.7,,,,-154.4,-152.6,-206.4,,,,-403.6,-392.7,-540.1,,,,-951.4,-969.5,-1281.6,,,
95,24800875,773112,CC1=CC=C(O1)/C=C\2/C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Inactive,0,,,>,122.49,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.1,1.8,-4.8,,,,0.5,-1.2,2.6,,,,2.9,-3.7,-1.5,,,,0.2,-3.1,-5.3,,,,-6.1,-3.7,-2,,,,-3.2,-5.8,-5.3,,,,-5.1,-5.4,-6,,,,-15.7,-11.9,-10.4,,,,-34.4,-48.1,-35.7,,,,-105.7,-128.8,-105.4,,,
96,22404823,4966398,C1=CC=C(C=C1)N=C2N(C(=O)C(S2)CC(=O)NC3=CC=CC=C3F)CCC4=CNC5=CC=CC=C54,Inactive,0,,,>,122.491,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.9,-2.5,-0.9,,,,0.3,0.3,-2.9,,,,0,-0.9,0,,,,2.1,-1.4,-2.9,,,,0.4,-2.7,-0.6,,,,-1.6,-1.5,-0.3,,,,8.7,4.2,3.8,,,,6.5,3.8,7.9,,,,-4.9,-5.7,-5.6,,,,-45.7,-50.7,-44.9,,,
97,14742430,6375556,CC(C(=O)O)N1C(=O)/C(=C/C=C/C2=CC=CO2)/SC1=S,Inactive,0,,,>,122.491,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.1,5.8,-2.7,-1.3,-6.2,-2.6,0.2,-5.2,0,-4.1,-6.6,0.2,-1,2.8,-4.1,-2.7,-2.4,-4,-2.5,-3.4,-7.7,2.3,2.5,1.7,-3.5,-4.2,-3.6,-3.4,-4.5,0.8,-5.2,-4.8,-3.6,-3.1,3.1,-1.4,-4.6,-11.5,-7.4,-2.1,-3,-0.6,-27.2,-23.2,-24.6,-4.5,-7.9,-4.3,-72.3,-71.1,-74.6,-24,-24,-35.3,-134.3,-145.9,-139.2,-49.6,-87.5,-51.8
98,57267250,25163304,CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)C3=CC=C(C=C3)C=O,Inactive,0,,,>,122.492,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.9,-4.2,1.7,,,,0.6,3.4,0.1,,,,-1.2,2.5,-2.6,,,,0.9,2.8,-3.8,,,,0.6,1.5,-0.6,,,,0.4,-1.4,3.3,,,,-4.7,-4.4,-0.4,,,,-8.7,-8,-6.1,,,,-28,-36.2,-26.7,,,,-66.9,-87.7,-59.8,,,
99,47197673,2966176,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O)C4=C(NC5=CC=CC=C54)C(=O)O,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.1,-4.3,-3.1,,,,-0.5,4,-7.4,,,,1,-1.3,-1.3,,,,0.4,3,-1.1,,,,-2.1,1.4,2.5,,,,-1.3,-2,-2.5,,,,-1.7,-1.3,0.6,,,,2.6,6.1,-2.5,,,,9.6,7.3,1.3,,,,10.1,6.3,11.3,,,
100,17409778,4358481,C1=CC=C(C(=C1)NC(=O)CS(=O)C2=CC(=CC=C2)Cl)Cl,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.3,-1.3,4.3,,,,5.4,3.6,-0.7,,,,-0.3,0.5,4.7,,,,-0.8,-0.5,2.9,,,,5.8,2,3.2,,,,-0.2,-3.5,1.2,,,,0.1,-5.7,1.7,,,,1.5,3.5,5.7,,,,1.7,4.4,1.7,,,,3.1,1.5,6,,,
